kind,section,identifier,parameter,2021-eva-corsa-clienti,2023-ego-rs
diff,VSM,4116,DRIVE_OVER_TEMP,82,155
diff,VSM,4111,MODEL,610,609
diff,VSM,4117,MOTOR_OVER_TEMP,125,185
diff,VSM,4112,VSM_CONFIG_1,15,4415
diff,EVSE,4355,FCHG_CURRENT_GAIN,333,225
diff,LIMP_MODE,4310,LIMP_DRIVE_T,72,150
diff,LIMP_MODE,4306,LIMP_MOTOR_T,125,180
diff,LIMP_MODE,4318,VCU_ORIENTATION,1,3
diff,DRIVE_BY_WIRE 1/2,4160,REGEN_MAP1_TRQ,23,20
diff,DRIVE_BY_WIRE 1/2,4161,REGEN_MAP2_TRQ,35,30
diff,DRIVE_BY_WIRE 1/2,4162,REGEN_MAP3_TRQ,45,40
diff,DRIVE_BY_WIRE 1/2,4165,REVERSE_MAX_SPD,175,45
diff,DRIVE_BY_WIRE 1/2,4163,REVERSE_TORQUE_LIMIT,700,600
diff,DRIVE_BY_WIRE 1/2,4164,REVERSE_TORQUE_SLEWRATE_LIMIT,12000,200
diff,DRIVE_BY_WIRE 1/2,4241,SPEED_LIMIT,223,231
diff,DRIVE_BY_WIRE 1/2,4242,SPEED_LIMIT_ECO,90,85
diff,DRIVE_BY_WIRE 1/2,4240,SPEED_LIMIT_SPORT,223,240
diff,SAFETY,4372,TABLE_TYPE_uC,4115,4119
diff,SAFETY,4373,TABLE_TYPE_uS,4115,4119
only_a,,,BATTERY_TRICKLE_CHG_T,present,
only_a,,,BATTERY_UNBALANCE_WINDOW,present,
only_a,,,CELL_COUNT_C,present,
only_a,,,CELL_COUNT_S,present,
only_a,,,CELL_OVER_VOLTAGE,present,
only_a,,,CELL_UNDERVOLTAGE_WARNING,present,
only_a,,,CELL_UNDER_VOLTAGE,present,
only_a,,,DBW_DUMMY_WORD11,present,
only_a,,,DBW_DUMMY_WORD12,present,
only_a,,,DBW_DUMMY_WORD13,present,
only_a,,,DBW_DUMMY_WORD14,present,
only_a,,,DBW_DUMMY_WORD15,present,
only_a,,,DBW_DUMMY_WORD16,present,
only_a,,,DBW_DUMMY_WORD17,present,
only_a,,,DC_CHG_COMPLETE_TH,present,
only_a,,,DC_OVERSHOOT,present,
only_a,,,EVSE_DUMMY_WORD3,present,
only_a,,,FPOSLIGHTS_MAX_CURR_TH,present,
only_a,,,FPOSLIGHTS_MIN_CURR_TH,present,
only_a,,,LM_TYPE,present,
only_a,,,RegenFade_0,present,
only_a,,,RegenFade_1,present,
only_a,,,RegenFade_10,present,
only_a,,,RegenFade_11,present,
only_a,,,RegenFade_12,present,
only_a,,,RegenFade_13,present,
only_a,,,RegenFade_14,present,
only_a,,,RegenFade_15,present,
only_a,,,RegenFade_16,present,
only_a,,,RegenFade_17,present,
only_a,,,RegenFade_18,present,
only_a,,,RegenFade_19,present,
only_a,,,RegenFade_2,present,
only_a,,,RegenFade_20,present,
only_a,,,RegenFade_21,present,
only_a,,,RegenFade_22,present,
only_a,,,RegenFade_23,present,
only_a,,,RegenFade_24,present,
only_a,,,RegenFade_3,present,
only_a,,,RegenFade_4,present,
only_a,,,RegenFade_5,present,
only_a,,,RegenFade_6,present,
only_a,,,RegenFade_7,present,
only_a,,,RegenFade_8,present,
only_a,,,RegenFade_9,present,
only_a,,,TARGET_VOLTAGE,present,
only_a,,,TH_HIGH_B_PACK_V,present,
only_a,,,TH_LOW_B_PACK_V,present,
only_a,,,ThrottleNeutralPosition_1,present,
only_a,,,ThrottleNeutralPosition_10,present,
only_a,,,ThrottleNeutralPosition_11,present,
only_a,,,ThrottleNeutralPosition_12,present,
only_a,,,ThrottleNeutralPosition_13,present,
only_a,,,ThrottleNeutralPosition_14,present,
only_a,,,ThrottleNeutralPosition_15,present,
only_a,,,ThrottleNeutralPosition_16,present,
only_a,,,ThrottleNeutralPosition_17,present,
only_a,,,ThrottleNeutralPosition_18,present,
only_a,,,ThrottleNeutralPosition_19,present,
only_a,,,ThrottleNeutralPosition_2,present,
only_a,,,ThrottleNeutralPosition_20,present,
only_a,,,ThrottleNeutralPosition_21,present,
only_a,,,ThrottleNeutralPosition_22,present,
only_a,,,ThrottleNeutralPosition_23,present,
only_a,,,ThrottleNeutralPosition_24,present,
only_a,,,ThrottleNeutralPosition_25,present,
only_a,,,ThrottleNeutralPosition_3,present,
only_a,,,ThrottleNeutralPosition_4,present,
only_a,,,ThrottleNeutralPosition_5,present,
only_a,,,ThrottleNeutralPosition_6,present,
only_a,,,ThrottleNeutralPosition_7,present,
only_a,,,ThrottleNeutralPosition_8,present,
only_a,,,ThrottleNeutralPosition_9,present,
only_b,,,BALANCING_WINDOW_AC,,present
only_b,,,BALANCING_WINDOW_DC,,present
only_b,,,BATTERY_TRICKLECHG_T,,present
only_b,,,BATTERY_UNBALANCE,,present
only_b,,,CELLV_HCA,,present
only_b,,,CELLV_KA,,present
only_b,,,CELLV_KAD,,present
only_b,,,CELLV_KAI,,present
only_b,,,CELLV_LCA,,present
only_b,,,CELL_COUNT,,present
only_b,,,CELL_NOMINAL,,present
only_b,,,CELL_OVERVOLTAGE,,present
only_b,,,CELL_REST,,present
only_b,,,CELL_TARGET_AC,,present
only_b,,,CELL_TARGET_DC,,present
only_b,,,CELL_UNDERVOLTAGE,,present
only_b,,,CELL_UNDERVOLTAGE_WARN,,present
only_b,,,CHARGER_TYPE,,present
only_b,,,CHG_OVERSHOOT_AC,,present
only_b,,,CHG_OVERSHOOT_DC,,present
only_b,,,CHG_OVERVOLTAGE,,present
only_b,,,EE_EVSE_DUMMY_1,,present
only_b,,,EE_EVSE_DUMMY_2,,present
only_b,,,EE_EVSE_DUMMY_3,,present
only_b,,,FUELECONOMY_DUMMY_WORD1,,present
only_b,,,FUELECONOMY_DUMMY_WORD2,,present
only_b,,,HIGH_PACK_V_DELTA,,present
only_b,,,LOW_PACK_V_DELTA,,present
only_b,,,MOTOR_MAX_SPD,,present
only_b,,,MOTOR_TYPE,,present
only_b,,,NT_SPD_MT_1_2,,present
only_b,,,NT_SPD_MT_3,,present
only_b,,,NT_SPD_TH,,present
only_b,,,NT_TRQ_MT_1_2,,present
only_b,,,NT_TRQ_MT_3,,present
only_b,,,PACKV_KA,,present
only_b,,,PACKV_KAD,,present
only_b,,,PACKV_KAI,,present
only_b,,,PACK_LPA,,present
only_b,,,POSLIGHTS_MAX_CURR_TH,,present
only_b,,,POSLIGHTS_MIN_CURR_TH,,present
only_b,,,RESS_DUMMY_WORD34,,present
only_b,,,RESS_DUMMY_WORD35,,present
only_b,,,RESS_DUMMY_WORD36,,present
only_b,,,RESS_DUMMY_WORD37,,present
only_b,,,RESS_DUMMY_WORD38,,present
only_b,,,RESS_DUMMY_WORD39,,present
only_b,,,RESS_DUMMY_WORD40,,present
only_b,,,RESS_DUMMY_WORD41,,present
only_b,,,RESS_DUMMY_WORD42,,present
only_b,,,RESS_DUMMY_WORD43,,present
only_b,,,RESS_DUMMY_WORD44,,present
only_b,,,RESS_DUMMY_WORD45,,present
only_b,,,RESS_DUMMY_WORD46,,present
only_b,,,RESS_DUMMY_WORD47,,present
only_b,,,RESS_DUMMY_WORD48,,present
only_b,,,RESS_DUMMY_WORD49,,present
only_b,,,RESS_DUMMY_WORD50,,present
only_b,,,R_BRAKE_POPUP,,present
only_b,,,TARGET_AC,,present
only_b,,,TARGET_DC,,present
only_b,,,VARIANT_CODING,,present
only_b,,,VSM_DUMMY_WORD1,,present
only_b,,,VSM_DUMMY_WORD12,,present
only_b,,,VSM_DUMMY_WORD2,,present
only_b,,,VSM_DUMMY_WORD3,,present
only_b,,,VSM_DUMMY_WORD4,,present
only_b,,,VSM_DUMMY_WORD6,,present
only_b,,,VSM_DUMMY_WORD7,,present
